voter_id,survey_id,response_date,question_id,question_text,is_parent,parent_question,optional_data,dropdown_value,score,comments,Start_Year,Location,Dept
518ea102ab77f5db1a64e15b94743c397e525645aafcd49374f1b2435db521bc,99,20231129,494,Safety,Yes,,,,,,2018-2019,New York,Technology
518ea102ab77f5db1a64e15b94743c397e525645aafcd49374f1b2435db521bc,99,20231129,486,How satisfied are you with the physical environment you work in?,No,Safety,,,7,,2018-2019,New York,Technology
518ea102ab77f5db1a64e15b94743c397e525645aafcd49374f1b2435db521bc,99,20231129,488,How much do you trust your organisation?,No,Safety,,,7,,2018-2019,New York,Technology
518ea102ab77f5db1a64e15b94743c397e525645aafcd49374f1b2435db521bc,99,20231129,490,How satisfied are you with the balance between your work and home life?,No,Safety,,,6,,2018-2019,New York,Technology
518ea102ab77f5db1a64e15b94743c397e525645aafcd49374f1b2435db521bc,99,20231129,508,Freedom,Yes,,,,,,2018-2019,New York,Technology
518ea102ab77f5db1a64e15b94743c397e525645aafcd49374f1b2435db521bc,99,20231129,489,How free do you feel to be your true self at work?,No,Freedom,,,7,,2018-2019,New York,Technology
518ea102ab77f5db1a64e15b94743c397e525645aafcd49374f1b2435db521bc,99,20231129,507,How satisfied are you with the level of freedom you have in your role?,No,Freedom,,,9,,2018-2019,New York,Technology
518ea102ab77f5db1a64e15b94743c397e525645aafcd49374f1b2435db521bc,99,20231129,509,Relationships,Yes,,,,,,2018-2019,New York,Technology
518ea102ab77f5db1a64e15b94743c397e525645aafcd49374f1b2435db521bc,99,20231129,487,How positive are your relationships at work?,No,Relationships,,,9,,2018-2019,New York,Technology
518ea102ab77f5db1a64e15b94743c397e525645aafcd49374f1b2435db521bc,99,20231129,493,How much do you enjoy working with your team?,No,Relationships,,,9,,2018-2019,New York,Technology
518ea102ab77f5db1a64e15b94743c397e525645aafcd49374f1b2435db521bc,99,20231129,499,How well do you get on with people at work?,No,Relationships,,,8,,2018-2019,New York,Technology
518ea102ab77f5db1a64e15b94743c397e525645aafcd49374f1b2435db521bc,99,20231129,510,Acknowledgment,Yes,,,,,,2018-2019,New York,Technology
518ea102ab77f5db1a64e15b94743c397e525645aafcd49374f1b2435db521bc,99,20231129,492,How much do you feel valued as an individual?,No,Acknowledgment,,,2,,2018-2019,New York,Technology
518ea102ab77f5db1a64e15b94743c397e525645aafcd49374f1b2435db521bc,99,20231129,498,How much do you feel your opinions are listened to?,No,Acknowledgment,,,3,,2018-2019,New York,Technology
518ea102ab77f5db1a64e15b94743c397e525645aafcd49374f1b2435db521bc,99,20231129,511,Personal Growth,Yes,,,,,,2018-2019,New York,Technology
518ea102ab77f5db1a64e15b94743c397e525645aafcd49374f1b2435db521bc,99,20231129,485,How satisfied are you with the amount of learning opportunities on offer?,No,Personal Growth,,,6,,2018-2019,New York,Technology
518ea102ab77f5db1a64e15b94743c397e525645aafcd49374f1b2435db521bc,99,20231129,497,How satisfied are you with the opportunity to progress your career here?,No,Personal Growth,,,6,,2018-2019,New York,Technology
518ea102ab77f5db1a64e15b94743c397e525645aafcd49374f1b2435db521bc,99,20231129,500,How satisfied are you with the amount of challenge in your role?,No,Personal Growth,,,6,,2018-2019,New York,Technology
518ea102ab77f5db1a64e15b94743c397e525645aafcd49374f1b2435db521bc,99,20231129,512,Meaning & Purpose,Yes,,,,,,2018-2019,New York,Technology
518ea102ab77f5db1a64e15b94743c397e525645aafcd49374f1b2435db521bc,99,20231129,501,How inspired are you by your organisation?,No,Meaning & Purpose,,,7,,2018-2019,New York,Technology
518ea102ab77f5db1a64e15b94743c397e525645aafcd49374f1b2435db521bc,99,20231129,504,How committed are you to helping the organisation succeed?,No,Meaning & Purpose,,,7,,2018-2019,New York,Technology
518ea102ab77f5db1a64e15b94743c397e525645aafcd49374f1b2435db521bc,99,20231129,513,Clarity,Yes,,,,,,2018-2019,New York,Technology
